comp_name;inn;ogrn;full_name;short_name;addr;form;date;dividents;audit_name;audit_inn;dir_q
"ОАО ""РАПС""";6167006089;1026104023;"Открытое акционерное общество ""Ростовагропромснаб""";"ОАО ""РАПС""";индекс 344029, город Ростов-на-Дону, улица 1-й Конной Армии;заочное голосование;30/06/2020;Вопрос не поднимался;Эркон;;Вопрос поднимался
"ПАО ""КЦ""";7715020463;1027700077;"Публичное акционерное общество ""Коммерческий центр""";"ПАО ""КЦ""";индекс 127253, город Москва, город Москва, проезд Лианозовский, дом 6;заочное голосование;30/06/2020;Принято решение выплачивать дивиденды;КЦ;;Вопрос поднимался
"АО ""Салаватстекло""";0266004050;1020201995;"Акционерное общество ""Салаватстекло""";"АО ""Салаватстекло""";индекс 453253, республика Башкортостан, город Салават, улица Индустриальная;заочное голосование;30/06/2020;Принято решение выплачивать дивиденды;Аудит-Безопасность;6453054397;Вопрос не поднимался
ПАО «ВымпелКом»;7713076301;1027700166;"Публичное акционерное общество ""Вымпел - Коммуникации""";"ПАО ""ВымпелКом""";индекс 127083, город Москва, улица 8 Марта, дом 10, строение None;очное;30/06/2020;Принято решение выплачивать дивиденды;ПрайсвотерхаусКуперс Аудит;7705051102;Вопрос поднимался
АО ЧМЗ;1829008035;1021801092;"Чепецкий механический завод """;АО ЧМЗ;республика Удмуртская, город Глазов;собрание;30/06/2020;Принято решение выплачивать дивиденды;;;Вопрос поднимался
"АО ""НПО ""МРТЗ""";7731018133;1027739090;"Акционерное общество ""Научно - производственное объединение"" Московский радиотехнический завод """;"АО ""НПО"" МРТЗ """;город Москва, дом 29;заочное голосование;29/06/2020;Принято решение не выплачивать дивиденды;А.Ф. «Профаудитсервис;;Вопрос поднимался
ПАО «КМЗ»;3305004397;1033302200;"Публичное акционерное общество ""Ковровский механический завод""";"ПАО ""КМЗ""";область Владимирская, город Ковров;заочное голосование;26/06/2020;Принято решение не выплачивать дивиденды;КМЗ;;Вопрос поднимался
"ПАО ""НЛМК""";4823006703;1024800823;Публичное акционерное общество “ Новолипецкий металлургический комбинат ”;ПАО “ НЛМК ”;страна Россия, город Липецк, площадь Металлургов;заочное голосование;30/06/2020;Принято решение выплачивать дивиденды;;;Вопрос не поднимался
"АО ""АВТОБАН-Финанс""";7708813750;1147746558;"Акционерное общество ""АВТОБАН - Финанс""";"АО ""АВТОБАН - Финанс""";индекс 119571, город Москва, проспект Вернадского, дом 92, корпус 1, офис 46;заочное голосование;30/06/2020;Принято решение не выплачивать дивиденды;КПМГ;;Вопрос поднимался
"АО НПК ""Северная заря""";7802064795;1027801543;"Акционерное общество научно - производственный комплекс ""Северная заря""";"АО НПК ""Северная заря""";город Санкт-Петербург;заочное голосование;29/06/2020;Принято решение выплачивать дивиденды;Аудиторская фирма «Критерий-Аудит;;Вопрос поднимался
"АО ""Нива""";2604005453;1062646000;"Акционерное общество ""Нива""";"АО ""Нива""";индекс 356570, страна РФ, край Ставропольский, село Арзгир, улица Горького;очное;30/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"АО АПРИ ""Флай Плэнинг""";7453326003;1197456003;"Ационерное общество АПРИ ""Флай Плэнинг""";"АО АПРИ ""Флай Плэнинг""";индекс 454091, область Челябинская, город Челябинск, улица Кирова, дом 159, офис 909;собрание;26/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"АО ""КЗМК""";5251000950;1025202101;"Акционерное общество ""Кулебакский завод металлических конструкций""";"АО ""КЗМК""";индекс 607014, область Нижегородская, город Кулебаки, улица Некрасова, дом 12;собрание;30/06/2020;Принято решение не выплачивать дивиденды;Эксперт-Консалтинг;;Вопрос не поднимался
"ПАО ""Ашинский метзавод""";7401000473;1027400508;"Публичное акционерное общество ""Ашинский металлургический завод""";"ПАО ""Ашинский метзавод""";индекс 456010, область Челябинская, город Аша;заочное голосование;25/06/2020;Принято решение не выплачивать дивиденды;ПрайсвотерхаусКуперс Аудит;;Вопрос поднимался
"АО ""Авиаагрегат""";6319031396;1026301708;"Акционерное общество ""Авиаагрегат""";"АО ""Авиаагрегат""";индекс 443009, город Самара, шоссе Заводское, дом 55;заочное голосование;29/06/2020;Принято решение не выплачивать дивиденды;АЖИО;;Вопрос не поднимался
"ОАО ""Волгограднефтемаш""";3446003396;1023404238;"Открытое акционерное общество ""Волгограднефтемаш""";"ОАО ""Волгограднефтемаш""";индекс 400011, область Волгоградская, город Волгоград, улица Электролесовская;заочное голосование;26/06/2020;Принято решение выплачивать дивиденды;Кроу Экспертиза;;Вопрос поднимался
"ПАО ""Сургутнефтегаз""";8602060555;1028600584;"Публичное акционерное общество ""Сургутнефтегаз""";"ПАО ""Сургутнефтегаз""";область Тюменская, автономный округ Ханты-Мансийский, город Сургут, улица Григория Кукуевицкого, корпус 1;собрание;30/06/2020;Принято решение выплачивать дивиденды;;;Вопрос поднимался
"ОАО институт ""Псковгражданпроект""";6027020326;1026000953;"Открытое акционерное общество институт ""Псковгражданпроект""";"ОАО институт ""Псковгражданпроект""";индекс 180000, город Псков, улица Набережная реки, дом 6;очное;30/06/2020;Принято решение не выплачивать дивиденды;Региональный центр аудита;;Вопрос поднимался
"АО ""Патроны""";3604002253;1023600605;"Акционерное Общество ""Патроны""";"АО ""Патроны""";индекс 397160, область Воронежская, город Борисоглебск, улица Бланская, дом 69;очное;26/06/2020;Принято решение не выплачивать дивиденды;Аудиторская экспертиза;;Вопрос поднимался
"АО ""АЛЬФА-БАНК""";7728168971;1027700067;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА - БАНК""";"АО ""АЛЬФА - БАНК""";индекс 107078, город Москва, улица Каланчевская;заочное голосование;30/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"ПАО ""Высочайший""";3802008553;1023800732;"Публичное акционерное общество ""Высочайший""";"ПАО ""Высочайший""";область Иркутская, город Бодайбо;очное;30/06/2020;Принято решение выплачивать дивиденды;ПрайсвотерхаусКуперс Аудит;;Вопрос поднимался
"ПАО ""Коршуновский ГОК""";3834002314;1023802658;"Публичное акционерное общество ""Коршуновский горно - обогатительный комбинат""";"ПАО ""Коршуновский ГОК""";индекс 665651, область Иркутская, город Железногорск-Илимский, улица Иващенко;заочное голосование;26/06/2020;Принято решение не выплачивать дивиденды;Коршуновский горно-обогатительный комбинат;;Вопрос не поднимался
"ОАО ""Упаковка""";7724174702;1027700343;"Открытое акционерное общество ""Производственное объединение"" Упаковка """;"ОАО ""Упаковка""";индекс 115477, страна Россия, None Москва;очное;26/06/2020;Принято решение не выплачивать дивиденды;Актив;;Вопрос не поднимался
"ООО ""КВС""";6450090478;1156451022;"Общество с ограниченной ответственностью ""Концессии водоснабжения - Саратов""";"ООО ""КВС""";область Саратовская, город Саратов;очное;30/06/2020;Вопрос не поднимался;;;Вопрос не поднимался
"АО ""Себряковцемент""";3437000021;1023405564;"Акционерное общество ""Себряковцемент""";"АО ""Себряковцемент""";индекс 403342, город Михайловка, область Волгоградская, улица Индустриальная;заочное голосование;26/06/2020;Принято решение выплачивать дивиденды;Центр-Аудит;;Вопрос не поднимался
"АО ""МСЗ""";3307001803;1023302152;"Акционерное общество ""Муромский стрелочный завод""";"АО ""МСЗ""";индекс 602262, город Муром, область Владимирской, улица Стахановская;собрание;25/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"ОАО ""Белгородский завод РИТМ""";3124010600;1023101637;"Открытое акционерное общество ""Белгородский завод РИТМ""";"ОАО ""Белгородский завод РИТМ""";город Белгород, проспект Б.Хмельницкого;очное;30/06/2020;Принято решение не выплачивать дивиденды;Лига-Аудит;;Вопрос поднимался
"ОАО ""ПКТФ ""Чувашбыттехсервис""";2126002507;1022101132;"Открытое акционерное общество ""Производственно - коммерческо - техническая фирма"" Чувашбыттехсервис """;"ОАО ""ПКТФ"" Чувашбыттехсервис """;индекс 428020, республика Чувашская, город Чебоксары, улица Гладкова, дом 7;очное;29/06/2020;Принято решение не выплачивать дивиденды;АУДИТ – ДАНКО;;Вопрос не поднимался
"ОАО ""ДиМикроС""";5022001286;1035004252;"Открытое Акционерное Общество ""Дизельные микропроцессорные системы""";"ОАО ""ДиМикроС""";область Московская, город Коломна, улица Партизан, дом 42;собрание;30/06/2020;Принято решение не выплачивать дивиденды;ДиМикроС ;;Вопрос не поднимался
"ОАО ""Орбита""";6833000704;1026801361;"Открытое акционерное общество ""Орбита""";"ОАО ""Орбита""";страна Россия, индекс 392000, город Тамбов, улица Кавалерийская;заочное голосование;29/06/2020;Принято решение не выплачивать дивиденды;ЗА;;Вопрос поднимался
"АО ""Марьинское""";2357005181;1022305002;"Открытое акционерное общество ""Марьинское""";"ОАО ""Марьинское""";страна Россия, край Краснодарский, село Марьино, улица Центральная;заочное голосование;30/06/2020;Принято решение не выплачивать дивиденды;Информ -Аудит;;Вопрос поднимался
"Богдановичское ОАО ""Огнеупоры""";6605001321;1026600705;Богдановичское открытое акционерное общество по производству огнеупорных материалов;"Богдановичское ОАО ""Огнеупоры""";индекс 623530, страна Россия, область Свердловская, город Богданович, улица Гагарина;очное;30/06/2020;Принято решение не выплачивать дивиденды;Аудит-Про;;Вопрос поднимался
Технопарк «Новое Время» (АО);5029008932;1025003523;"Технопарк ""Новое Время"" ( акционерное общество )";"Технопарк ""Новое Время"" ( АО )";город Мытищи, область Московской, улица Колпакова, дом 2, корпус 1;заочное голосование;30/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"ОАО ""НФЗПМ""";5030005051;1035005901;"Открытое Акционерное Общество ""Наро - Фоминский завод пластических масс""";"ОАО ""НФЗПМ""";индекс 143300, область Московская, город Наро-Фоминск, переулок 2-й Володарский, дом 4;собрание;29/06/2020;Принято решение выплачивать дивиденды;;;Вопрос поднимался
"АО ""Порт Ванино""";2709001590;1022700711;"Акционерное общество ""Ванинский морской торговый порт""";"АО ""Порт Ванино""";край Хабаровский, индекс 682860, посёлок Ванино, улица Железнодорожная, дом 1;заочное голосование;30/06/2020;Принято решение не выплачивать дивиденды;Скоуп;;Вопрос не поднимался
"ОАО АК ""Уральские авиалинии""";6608003013;1026605388;"Открытое акционерное общество Авиакомпания ""Уральские авиалинии""";"ОАО АК ""Уральские авиалинии""";страна Россия, область Свердловская, индекс 620025, город Екатеринбург, переулок Утренний, дом 1-г;заочное голосование;30/06/2020;Принято решение не выплачивать дивиденды;Агентство «Налоги и финансовое право;;Вопрос поднимался
"ОАО ""БЭИЗ""";6639001513;1026601982;"Открытое акционерное общество ""Белоярский экспериментально - инструментальный завод""";"ОАО ""БЭИЗ""";страна Россия, индекс 624033, область Свердловская, посёлок Белоярский, улица Мира, дом 20;собрание;26/06/2020;Принято решение не выплачивать дивиденды;ФинАудит;;Вопрос не поднимался
"АО ""Центр""";6668001490;1026601370;"Акционерное общество ""Центр""";"АО ""Центр""";индекс 622001, область Свердловская, город Нижний Тагил, улица Ломоносова;заочное голосование;30/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос не поднимался
"АО ""ОРСТАН""";5611021211;1025601719;"Открытое акционерное общество ""Оренбургский Станкозавод""";"ОАО ""ОРСТАН""";город Оренбург, улица Ногина;очное;30/06/2020;Принято решение не выплачивать дивиденды;Аудит-Стандарт;;Вопрос поднимался
"ОАО ""Кочеволес""";8104000225;1025903378;"Открытое акционерное общество ""Кочеволес""";"ОАО ""Кочеволес""";страна Россия, край Пермский, посёлок Октябрьский;заочное голосование;26/06/2020;Вопрос не поднимался;Кочеволес;;Вопрос не поднимался
"АО ""Ижевский мотозавод ""Аксион-холдинг""";1826000616;1021801140;"Акционерное общество ""Ижевский мотозавод « Аксион - холдинг""";"АО ""Ижевский мотозавод « Аксион - холдинг""";индекс 426000, республика Удмуртская, город Ижевск, улица Максима Горького;заочное голосование;29/06/2020;Принято решение выплачивать дивиденды;Консалтинг-аудит;;Вопрос поднимался
"ОАО ""ГАТП""";3304001869;1023300593;"Открытое акционерное общество ""Грузовое АТП""";"ОАО ""ГАТП""";индекс 601506, область Владимирская, город Гусь-Хрустальный, улица Севастопольская;очное;26/06/2020;Принято решение выплачивать дивиденды;;;Вопрос поднимался
"ОАО ""КГИЛЦ""";5101600300;1025100507;"Открытое акционерное общество ""Кольский геологический информационно - лабораторный центр""";"ОАО ""КГИЛЦ""";индекс 184209, страна Россия, область Мурманская, город Апатиты, улица Ферсмана, дом 26В;заочное голосование;30/06/2020;Принято решение выплачивать дивиденды;Аудит-Стандарт;;Вопрос поднимался
"ОАО ""Самарагаз""";6315223001;1026300968;"Открытое акционерное общество ""Самарагаз""";"ОАО ""Самарагаз""";индекс 443010, город Самара, улица Льва Толстого;заочное голосование;26/06/2020;Принято решение не выплачивать дивиденды;Газаудит;;Вопрос не поднимался
"ОАО ""Молоко""";1102003370;1021100733;"Открытое акционерное общество ""МОЛОКО""";"ОАО ""Молоко""";индекс 169300, республика Коми, город Ухта, улица Печорская;заочное голосование;27/06/2020;Принято решение не выплачивать дивиденды;Лависс;;Вопрос поднимался
"ПАО ""НК ""Роснефть""-Алтайнефтепродукт""";2225007351;1022201762;"Публичное акционерное общество ""НК"" Роснефть ""- Алтайнефтепродукт""";"ПАО ""НК"" Роснефть ""- Алтайнефтепродукт""";край Алтайский, город Барнаул;заочное голосование;29/06/2020;Принято решение не выплачивать дивиденды;Аудиторско-консультационная группа «Развитие бизнес-систем;;Вопрос поднимался
ПАО Трансаммиак;6320004710;1026302004;"Публичное акционерное общество ""Трансаммиак""";"ПАО ""Трансаммиак""";индекс 445045, область Самарская, город Тольятти, улица Громовой;очное;30/06/2020;Принято решение не выплачивать дивиденды;за;;Вопрос поднимался
"ОАО ""ЭХМЗ им.Н.Д.Зелинского""";5053002307;1025007108;"Открытое акционерное общество ""Электростальский химико - механический завод имени Н . Д . Зелинского""";"ОАО ""ЭХМЗ им . Н . Д . Зелинского""";индекс 144001, страна РФ, область Московская, город Электросталь, улица К.Маркса, дом 1;заочное голосование;25/06/2020;Принято решение не выплачивать дивиденды;АУДИТ.НАЛОГИ.КОНСАЛТИНГ;;Вопрос поднимался
"ОАО ""КомиСЗЭМ""";1121008768;1021101121;"Открытое акционерное общество ""КомиСЕВЗАПЭНЕРГОМОНТАЖ""";"ОАО ""КомиСЗЭМ""";индекс 167000, республика Коми, город Сыктывкар, улица Интернациональная;заочное голосование;26/06/2020;Принято решение не выплачивать дивиденды;АВУАР-Инспект;;Вопрос не поднимался
"ПАО ""НЗХК""";5410114184;1025403903;"Публичное акционерное общество ""Новосибирский завод химконцентратов""";"ПАО ""НЗХК""";страна Россия, город Новосибирск;заочное голосование;26/06/2020;Принято решение не выплачивать дивиденды;НЗХК;;Вопрос поднимался
"ОАО ""Чаплыгинское АТП""";4818001690;1024800767;"Открытое акционерное общество ""Чаплыгинское автотранспортное предприятие""";"ОАО ""Чаплыгинское АТП""";индекс 399900, область Липецкая, город Чаплыгин, улица Строительная, дом 7;очное;30/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"ПАО ""Орскнефтеоргсинтез""";5615002700;1025601998;"Публичное акционерное общество ""Орскнефтеоргсинтез""";"ПАО ""Орскнефтеоргсинтез""";индекс 462407, область Оренбургская, город Орск, улица Гончарова;заочное голосование;24/06/2020;Вопрос не поднимался;;;Вопрос не поднимался
"ОАО ""Иркутскгражданпроект-I""";3808224470;1123850025;"Открытое акционерное общество ""Иркутскгражданпроект - I""";"ОАО ""Иркутскгражданпроект - I""";страна Россия, город Иркутск, улица Степана Разина;собрание;27/06/2020;Вопрос не поднимался;Иркутскгражданпроект-I;;Вопрос поднимался
"АО ""Камтэкс-Химпром""";5907016890;1025901512;"Акционерное общество ""Камтэкс - Химпром""";"АО ""Камтэкс - Химпром""";индекс 614047, город Пермь, улица Соликамская, дом 293;заочное голосование;26/06/2020;Принято решение не выплачивать дивиденды;Камтэкс-Химпром;;Вопрос поднимался
"АО ""Фирма ""Аврора""";2538005930;1022501897;"Акционерное общество ""Фирма"" Аврора """;"АО ""Фирма"" Аврора """;индекс 690074, страна Россия, край Приморский, город Владивосток, улица Снеговая;очное;30/06/2020;Принято решение выплачивать дивиденды;Фирма «Аврора;;Вопрос не поднимался
"ПАО ""ОНХП""";5501035050;1025500508;"Публичное акционерное общество ""ОНХП""";"ПАО ""ОНХП""";область Омская, город Омск;собрание;26/06/2020;Принято решение выплачивать дивиденды;ОНХП;;Вопрос поднимался
"ПАО ""Аквасервис""";7729133410;1027739224;"Публичное акционерное общество ""Аквасервис""";"ПАО ""Аквасервис""";индекс 115230, город Москва, шоссе Каширское, дом 3, корпус 2, строение None;заочное голосование;26/06/2020;Вопрос не поднимался;Аудиторская фирма «ОСБИ;;Вопрос поднимался
ПАО «Удмуртнефть» им. В.И. Кудинова;1831034040;1021801147;"Открытое акционерное общество ""Удмуртнефть""";"ОАО ""Удмуртнефть""";индекс 426057, республика Удмуртская, город Ижевск, улица Красноармейская;заочное голосование;29/06/2020;Принято решение выплачивать дивиденды;Эрнст энд Янг;;Вопрос поднимался
"АО ""Пелла""";4706000296;1024701329;"Открытое акционерное общество ""Ленинградский судостроительный завод"" Пелла """;"ОАО ""Пелла""";страна Россия, область Ленинградская, город Отрадное, улица Центральная;заочное голосование;29/06/2020;Принято решение выплачивать дивиденды;Пелла;;Вопрос не поднимался
"АО ""Кургансельмаш""";4501017355;1024500515;"Открытое акционерное общество ""Кургансельмаш""";"ОАО ""Кургансельмаш""";область Курганская, город Курган, улица Куйбышева;заочное голосование;26/06/2020;Принято решение не выплачивать дивиденды;Кургансельмаш;4501017355;Вопрос поднимался
"ПАО ""Русолово""";7706774915;1127746391;"Публичное акционерное общество ""Русолово""";"ПАО ""Русолово""";индекс 119049, город Москва, проспект Ленинский, дом 6, корпус 7;заочное голосование;29/06/2020;Принято решение не выплачивать дивиденды;Русолово;7708000473;Вопрос поднимался
"ПАО ""НЕФАЗ""";0264004103;1020201881;"Публичное акционерное общество ""НЕФАЗ""";"ПАО ""НЕФАЗ""";город Нефтекамск, улица Янаульская;заочное голосование;25/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
АО «СМП Банк»;7750005482;1097711000;"Акционерное общество Банк ""Северный морской путь""";"АО ""СМП Банк""";индекс 115035, город Москва, улица Садовническая, дом 71, строение None;заочное голосование;29/06/2020;Принято решение выплачивать дивиденды;СМП Банк;;Вопрос поднимался
ПАО «РУСАЛ Братск»;3803100054;1023800836;"Публичное акционерное общество ""РУСАЛ Братский алюминиевый завод""";"ПАО ""РУСАЛ Братск""";индекс 665716, область Иркутская, город Братск;;29/06/2020;Принято решение не выплачивать дивиденды;РУСАЛ Братск;;Вопрос поднимался
"ПАО ""ПМЗР""";7734034454;1027739693;"Публичное акционерное общество ""Первый Московский завод радиодеталей""";"ПАО ""ПМЗР""";город Москва;заочное голосование;24/06/2020;Принято решение не выплачивать дивиденды;ЭКФИ;;Вопрос поднимался
"ОАО ""Завод радиоаппаратуры""";6608000301;1026605387;"Открытое акционерное общество ""Завод радиоаппаратуры""";"ОАО ""Завод радиоаппаратуры""";индекс 620142, город Екатеринбург, улица Щорса;очное;26/06/2020;Принято решение не выплачивать дивиденды;ОргПром-Аудит;;Вопрос не поднимался
"ПАО ""Мосэнерго""";7705035012;1027700302;"Публичное акционерное общество энергетики и электрификации ""Мосэнерго""";"ПАО ""Мосэнерго""";индекс 119526, город Москва, проспект Вернадского, корпус 101;заочное голосование;24/06/2020;Принято решение выплачивать дивиденды;Мосэнерго;7736050003;Вопрос поднимался
АО КМАЭМ;3125005391;1023101637;"Акционерное общество ""КМАэлектромонтаж""";АО КМАЭМ;индекс 308015, город Белгород, улица Сумская;заочное голосование;26/06/2020;Принято решение не выплачивать дивиденды;КОНС-АУДИТ;;Вопрос поднимался
"АО ""Муссон""";9201006351;1149204019;"Публичное акционерное общество ""Муссон""";"ПАО ""Муссон""";индекс 299053, страна РФ, город Севастополь, улица Вакуленчука;заочное голосование;26/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос не поднимался
"АО ""ОХПП""";5611003710;1025601717;"Публичное акционерное общество ""Оренбургское хлебоприёмное предприятие""";"ПАО ""ОХПП""";индекс 460050, область Оренбургская, город Оренбург, переулок Связной;заочное голосование;29/06/2020;Принято решение не выплачивать дивиденды;Аудиторский вектор;;Вопрос поднимался
"ПАО ""ОГК-2""";2607018122;1052600002;"Публичное акционерное общество ""Вторая генерирующая компания оптового рынка электроэнергии""";"ПАО ""ОГК - 2""";край Ставропольский, посёлок Солнечнодольск;заочное голосование;24/06/2020;Принято решение выплачивать дивиденды;ЗА;2607018122;Вопрос поднимался
"АО ""БАШСТРОЙТРАНС""";0277001734;1020203079;"Публичное акционерное общество ""Башстройтранс""";"ПАО ""Башстройтранс""";индекс 450032, республика Башкортостан, город Уфа, улица Кольцевая, дом 102;заочное голосование;24/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"ОАО ""ГАТП-4""";7325008020;1027301172;"Открытое акционерное общество ""Грузовое автотранспортное предприятие № 4""";"ОАО ""ГАТП - 4""";страна РФ, город Ульяновск, улица Урицкого, дом 23;очное;29/06/2020;Принято решение не выплачивать дивиденды;;;Вопрос поднимался
"АО ""НК ""Роснефть"" - Карачаево-Черкесскнефтепродукт""";0901021415;1020900507;"Публичное акционерное общество ""НК"" Роснефть ""- Карачаево - Черкесскнефтепродукт""";"ПАО ""НК"" Роснефть ""- Карачаево - Черкесскнефтепродукт""";индекс 369115, республика Карачаево-Черкесская, село Знаменка, улица Мира;заочное голосование;25/06/2020;Принято решение не выплачивать дивиденды;Аудиторско-консультационная группа «Развитие бизнес-систем;;Вопрос поднимался
"АО ""Пигмент""";6829000074;1026801222;"Публичное акционерное общество ""Пигмент""";"ПАО ""Пигмент""";индекс 392000, город Тамбов, улица Монтажников;заочное;25/06/2020;Принято решение выплачивать дивиденды;Пигмент;;Вопрос поднимался
ОАО ИНВЕСТСЕРВИС;2310021935;1022301597;ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ИНВЕСТСЕРВИС;ОАО ИНВЕСТСЕРВИС;индекс 350020, город Краснодар, улица Коммунаров;очное;28/06/2020;Принято решение выплачивать дивиденды;Аэлита;;Вопрос не поднимался
ООО «Ситиматик-Югра»;8601064050;1178617001;"Общество с ограниченной ответственностью ""Ресурсосбережение ХМАО""";"ООО ""РСБ ХМАО""";страна Россия, автономный округ Ханты-Мансийский, город Ханты-Мансийск;очное;29/06/2020;Вопрос не поднимался;Финансовые и бухгалтерские консультанты;;Вопрос не поднимался
"ОАО ""Донречфлот""";6167038154;1026104158;"Открытое акционерное общество ""Донречфлот""";"ОАО ""Донречфлот""";страна Россия, индекс 344019, город Ростов-на-Дону, улица Советская;очное;29/06/2020;Принято решение не выплачивать дивиденды;Донречфлот;;Вопрос не поднимался
"АО ""Альметьевское ПОПАТ""";1644007920;1021601627;"Акционерное Общество ""Альметьевское производственное объединение пассажирского автотранспорта""";"АО ""Альметьевское ПОПАТ""";республика Татарстан, город Альметьевск, улица Полевая, дом 2;заочное голосование;26/06/2020;Принято решение не выплачивать дивиденды;Аудит ТД;;Вопрос поднимался
"ОАО ""БСМЗ""";7805029037;1027802760;"Открытое акционерное общество ""Балтийский судомеханический завод""";"ОАО ""БСМЗ""";индекс 198096, город Санкт-Петербург, дом 26, корпус 5;собрание;29/06/2020;Принято решение не выплачивать дивиденды;" Общества на 2020 год ООО “ТС-А”; дата составления и номер протокола общего собрания участников (акционеров) эмитента: 29.06.2020, № 1; идентификационные признаки акций, владельцы которых имеют право на участие в общем собрании акционеров эмитента: акции именные обыкновенные, гос. рег. № 1-01-03429-D от 14.02.1994. 3. Подпись 3.1. Генеральный директор И.А. Чеботарев 3.2. Дата 29.06.2020г";;Вопрос не поднимался
"АО ""Прибой-Инвест""";7801098840;1027800507;"Акционерное общество ""Прибой - Инвест""";"АО ""Прибой - Инвест""";индекс 199106, None Санкт-Петербург, дом 14, корпус 8;заочное голосование;23/06/2020;Принято решение не выплачивать дивиденды;АУДИТОРСКО-КОНСУЛЬТАЦИОННАЯ ГРУППА ИНАУДИТ;7825350954;Вопрос не поднимался
"ОАО ""НЗРА""";8603030793;1028600949;"Открытое акционерное общество ""Нижневартовский завод по ремонту автомобилей""";"ОАО ""НЗРА""";индекс 628606, область Тюменская, автономный округ Ханты-Мансийский, город Нижневартовск, улица Индустриальная, дом 14;заочное голосование;29/06/2020;Принято решение выплачивать дивиденды;Аудиторская фирма;;Вопрос не поднимался
